fips,county_name,median_gross_rent,median_household_income,median_home_value,total_housing_units,vacant_housing_units,rental_vacancy_rate,state,county
01001,"Autauga County, Alabama",1199.0,68315.0,191800.0,24457,2149,8.786850390481254,1,1
01003,"Baldwin County, Alabama",1160.0,71039.0,266000.0,125113,34311,27.42400869613869,1,3
01005,"Barbour County, Alabama",627.0,39712.0,102700.0,11673,2657,22.761929238413437,1,5
01007,"Bibb County, Alabama",765.0,50669.0,120100.0,9046,1830,20.22993588326332,1,7
01009,"Blount County, Alabama",734.0,57440.0,159800.0,24677,3051,12.363739514527698,1,9
01011,"Bullock County, Alabama",619.0,36136.0,87700.0,4541,1091,24.02554503413345,1,11
01013,"Butler County, Alabama",720.0,44429.0,94800.0,9835,2704,27.49364514489069,1,13
01015,"Calhoun County, Alabama",806.0,54339.0,140500.0,53167,8474,15.93845806609363,1,15
01017,"Chambers County, Alabama",842.0,48805.0,116900.0,16427,3284,19.99147744566871,1,17
01019,"Cherokee County, Alabama",700.0,46621.0,158700.0,14687,4690,31.9330019745353,1,19
01021,"Chilton County, Alabama",814.0,62471.0,136000.0,19546,2615,13.37869640847232,1,21
01023,"Choctaw County, Alabama",616.0,43299.0,101600.0,7138,1910,26.758195572989635,1,23
01025,"Clarke County, Alabama",723.0,47549.0,126200.0,11733,3545,30.21392653200375,1,25
01027,"Clay County, Alabama",576.0,48074.0,144100.0,7040,1555,22.088068181818183,1,27
01029,"Cleburne County, Alabama",782.0,51553.0,131900.0,6818,1057,15.503080082135522,1,29
01031,"Coffee County, Alabama",921.0,62199.0,162200.0,24155,3792,15.698613123576898,1,31
01033,"Colbert County, Alabama",810.0,56149.0,148500.0,27709,4443,16.034501425529612,1,33
01035,"Conecuh County, Alabama",718.0,39888.0,98800.0,6451,1998,30.971942334521778,1,35
01037,"Coosa County, Alabama",632.0,52279.0,109500.0,6045,2046,33.84615384615385,1,37
01039,"Covington County, Alabama",701.0,48772.0,124300.0,18644,4450,23.868268611885863,1,39
01041,"Crenshaw County, Alabama",595.0,48557.0,100400.0,6553,1714,26.155959102701058,1,41
01043,"Cullman County, Alabama",848.0,58119.0,166000.0,39182,5533,14.12128017967434,1,43
01045,"Dale County, Alabama",829.0,52813.0,123800.0,22829,3429,15.020368829120857,1,45
01047,"Dallas County, Alabama",726.0,37180.0,91600.0,18992,4239,22.31992417860152,1,47
01049,"DeKalb County, Alabama",684.0,47920.0,129000.0,30716,5026,16.362807657247036,1,49
01051,"Elmore County, Alabama",982.0,73258.0,200400.0,36787,4603,12.512572376111123,1,51
01053,"Escambia County, Alabama",659.0,41153.0,122000.0,16715,3693,22.0939276099312,1,53
01055,"Etowah County, Alabama",779.0,52177.0,148400.0,47412,8621,18.183160381338052,1,55
01057,"Fayette County, Alabama",600.0,45650.0,112700.0,7816,1673,21.40481064483112,1,57
01059,"Franklin County, Alabama",596.0,47359.0,121600.0,13940,2701,19.37589670014347,1,59
